took,timed_out,_shards_total,_shards_successful,_shards_failed,hits_total,hits_max_score,hits_hits__index,hits_hits__type,hits_hits__id,hits_hits__score,hits_hits__source_Data_buono,hits_hits__source_Id_buono,hits_hits__source_Id_distributore,hits_hits__source_Data_registraz,hits_hits__source_Tipo_buono,hits_hits__source_Id_bene,hits_hits__source_Qta_carburante,hits_hits__source_Km_percor,hits_hits__source_Km_attuali,hits_hits__source_Km_contakm,hits_hits__source_Prz_unit_carbur,hits_hits__source_Forzatura_ContaKM,hits_hits__source_Cambio_olio,hits_hits__source_KmCalcolati,hits_hits__source_KmInseriti,hits_hits__source_FuoriRange,hits_hits__source_ConsumoMedioBuonoCorrente,hits_hits__source_UltimoOperatore,hits_hits__source_UltimaModifica,hits_hits__source_Ora_buono,hits_hits__source_Data_quadratura,hits_hits__source_IdMovMag,hits_hits__source_IdRiga,hits_hits__source_Importato_Dal_Noleggio,hits_hits__source_Qta_quadratura,hits_hits__source_Trasferito,hits_hits__source_Id_Cliente,hits_hits__source_Ore_Incremento,hits_hits__source_Ore_Vita,hits_hits__source_Ore_ContaOre,hits_hits__source_ConsumoMedioOreBuonoCorrente,hits_hits__source_Tipo_Inserimento_Ore,hits_hits__source_Tipo_Inserimento_Km,hits_hits__source_FuoriRangeOre,hits_hits__source_Importato_Plus,hits_hits__source_Tipo_rilevazione,hits_hits__source_modello,hits_hits__source_riferimento
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","1692122414_1481971299_1480051",1.0,"2017-09-02T15:26:08.000+02:00",253047.0,"01_1","2017-09-07T15:26:09.000+02:00","P",3014.0,5.0,11.0,336112.0,336112.0,0.0,false,false,336112.0,336112.0,false,2.2,"nl","2017-09-07T15:26:15.000+02:00","1899-12-30T14:26:08.000+01:00","2017-09-07T02:00:00.000+02:00",25031.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS Europolis","DE 158 XW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","1333992805_1481971362_1480051",1.0,"2017-09-02T15:28:23.000+02:00",253068.0,"01_1","2017-09-07T15:28:24.000+02:00","P",7048.0,142.0,312.0,379392.0,377535.0,0.0,false,false,377535.0,377535.0,false,2.197,"nl","2017-09-07T15:28:30.000+02:00","1899-12-30T14:28:23.000+01:00","2017-09-07T02:00:00.000+02:00",25031.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","DB 381 AS"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","35026025_1481971358_1480051",1.0,"2017-09-02T15:27:59.000+02:00",253064.0,"01_1","2017-09-07T15:27:59.000+02:00","P",7037.0,159.0,349.0,703765.0,703765.0,0.0,false,false,703765.0,703765.0,false,2.193,"nl","2017-09-07T15:28:04.000+02:00","1899-12-30T14:27:59.000+01:00","2017-09-07T02:00:00.000+02:00",25031.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","DB 370 AS"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","354959568_1481971450_1480051",1.0,"2017-09-02T15:32:16.000+02:00",253093.0,"01_1","2017-09-07T15:32:16.000+02:00","P",3001.0,116.0,255.0,749116.0,749116.0,0.0,false,false,749116.0,749116.0,false,2.197,"nl","2017-09-07T15:32:21.000+02:00","1899-12-30T14:32:16.000+01:00","2017-09-07T02:00:00.000+02:00",25031.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS Europolis","BZ 506 PJ"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-918086869_1481971451_1480051",1.0,"2017-09-02T15:32:22.000+02:00",253094.0,"01_1","2017-09-07T15:32:22.000+02:00","P",3026.0,86.0,189.0,750335.0,750335.0,0.0,false,false,750335.0,750335.0,false,2.197,"nl","2017-09-07T15:32:26.000+02:00","1899-12-30T14:32:22.000+01:00","2017-09-07T02:00:00.000+02:00",25031.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS Europolis","DE 170 XW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-1312909072_1481971452_1480051",1.0,"2017-09-02T15:32:27.000+02:00",253095.0,"01_1","2017-09-07T15:32:28.000+02:00","P",5145.0,105.0,231.0,843918.0,843918.0,0.0,false,false,843918.0,843918.0,false,2.2,"nl","2017-09-07T15:32:32.000+02:00","1899-12-30T14:32:27.000+01:00","2017-09-07T02:00:00.000+02:00",25031.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IVECO 490 E2.10","AP 922 JJ"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","2085487693_1481971425_1480051",1.0,"2017-09-02T15:31:23.000+02:00",253089.0,"01_1","2017-09-07T15:31:24.000+02:00","P",3025.0,172.0,378.0,41912.0,41912.0,0.0,false,false,41912.0,41912.0,false,2.197,"nl","2017-09-07T15:31:34.000+02:00","1899-12-30T14:31:23.000+01:00","2017-09-07T02:00:00.000+02:00",25031.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS Europolis","DE 169 XW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-1379332306_1481971447_1480051",1.0,"2017-09-02T15:31:35.000+02:00",253090.0,"01_1","2017-09-07T15:31:35.000+02:00","P",7034.0,103.0,226.0,129913.0,129913.0,0.0,false,false,129913.0,129913.0,false,2.193,"nl","2017-09-07T15:32:05.000+02:00","1899-12-30T14:31:35.000+01:00","2017-09-07T02:00:00.000+02:00",25031.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","DB 367 AS"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","1795238242_1481971390_1480051",1.0,"2017-09-02T15:29:10.000+02:00",253075.0,"01_1","2017-09-07T15:29:11.000+02:00","P",7008.0,50.0,110.0,682165.0,682165.0,0.0,false,false,682165.0,682165.0,false,2.2,"nl","2017-09-07T15:29:16.000+02:00","1899-12-30T14:29:10.000+01:00","2017-09-07T02:00:00.000+02:00",25031.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","BY 177 BW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-1411416319_1481971394_1480051",1.0,"2017-09-02T15:29:42.000+02:00",253079.0,"01_1","2017-09-07T15:29:42.000+02:00","P",7031.0,56.0,123.0,725381.0,724862.0,0.0,false,false,724862.0,724862.0,false,2.196,"nl","2017-09-07T15:29:46.000+02:00","1899-12-30T14:29:42.000+01:00","2017-09-07T02:00:00.000+02:00",25031.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","DB 364 AS"
