idFermata,descrizioneFermata,latitudine,longitudine
03393101,"Viale  O. Flacco, di fronte Civ. 4/A",41.1107,16.8618
06006001,"Via Alberotanza, 5",41.0958,16.8718
05399002,"Via Oberdan INPDAP",41.1177,16.8817
10208101,"Via Delle Orchidee-ex Stanadyne",41.1013,16.7849
05510001,"via Toscanini, 20",41.1029,16.9115
05500101,"via  Suglia, 4",41.1037,16.9128
03462001,"S.P. Carbonara/Modugno BARIDOMANI",41.0883,16.8276
01143103,"Via D'Annunzio svincolo Aereoporto Civil",41.1377,16.7785
01387101,"Via Nicholas Green,54",41.1569,16.7416
10207102,"via Delle Ortensie, di fronte Pimespo",41.109,16.7737
04483001,"Via S. Angelo, 39",41.0656,16.866
05510C00,"Via Toscanini, Edicola (Capolinea)",41.1025,16.9112
03120003,"viale Con. Vaticano II ang.V.Giov.XXIII",41.1068,16.8652
10183003,"via Dei Gerani, di fronte Partner S.p.A",41.1102,16.7847
05273107,"via Gentile ,di fronte al Sacrario",41.1106,16.9047
02150001,"viale De Blasio, ex Radaelli",41.1112,16.7918
04303101,"via Lama Del Duca, di fronte 2/A",41.0736,16.8552
05216104,"Strada detta Della Marina ,di f. al 62/D",41.0952,16.9739
02240006,"Viale Europa ,difronte ex Pirelli",41.1232,16.8042
05489102,"via Scizze, Lido Polizia",41.0929,16.9856
05517101,"via Troisi",41.1053,16.9164
01135002,"Lung.C.Colombo,270",41.1686,16.7389
06162010,"Corso A. De Gasperi, 248",41.1053,16.8716
08129001,"Via  Crispi, slargo M. Pagano",41.1212,16.8496
05216101,"Strada detta Della Marina ,di f. al 22",41.094,16.9836
06249005,"via Fanelli ,206/39",41.0997,16.8803
02123001,"via Corigliano ,ang. Lindemann",41.1225,16.8174
06009006,"via  Amendola deposito FSE",41.1059,16.886
03094C00,"via S. Caterina, capolinea Ipercoop",41.0987,16.829
05105101,"Via  Colella ,ang.Via gentile",41.1084,16.9093
02150005,"viale De Blasio, Manifatt. dei Tabacchi",41.1153,16.8094
09556103,"C.so Vitt.Emanuele-Pal.Fizzarotti",41.1257,16.8635
08329102,"Via Manzoni-P.zza Risorgimento",41.1229,16.861
09173001,"Via De Rossi, civ. 74",41.1233,16.8654
07530C00,"P.zza Eroi del Mare (capolinea)",41.1253,16.8728
