took,timed_out,shards_total,shards_successful,shards_failed,hits_total,hits_max_score,hits_hits__index,hits_hits__type,hits_hits__id,hits_hits__score,hits_hits__source_id_quartiere,hits_hits__source_id_municipio,hits_hits__source_id_circoscrizione,hits_hits__source_ora,hits_hits__source_id_corsa,hits_hits__source_totale_rilevazioni,hits_hits__source_id_data,hits_hits__source_municipio,hits_hits__source_quartiere,hits_hits__source_flag_amtab_mezzi,hits_hits__source_data,hits_hits__source_anno,hits_hits__source_data_anno
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","12_1_140_15_184203_20170307",1.0,12.0,1.0,140.0,15.0,"184203",1.0,2.0170307E7,"MUNICIPIO N.5","XII - PALESE - MACCHIE",1.0,"2017-03-07","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_168_15_184536_20170307",1.0,2.0,3.0,168.0,15.0,"184536",1.0,2.0170307E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-07","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","10_4_227_12_185095_20170315",1.0,10.0,4.0,227.0,12.0,"185095",1.0,2.0170315E7,"MUNICIPIO N.3","X  - MARCONI - SAN GIROLAMO - FESCA",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","10_4_227_12_185102_20170315",1.0,10.0,4.0,227.0,12.0,"185102",1.0,2.0170315E7,"MUNICIPIO N.3","X  - MARCONI - SAN GIROLAMO - FESCA",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","14_2_240_15_192265_20170307",1.0,14.0,2.0,240.0,15.0,"192265",1.0,2.0170307E7,"MUNICIPIO N.4","XIV - CARBONARA DI BARI",1.0,"2017-03-07","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","14_2_240_12_192169_20170315",1.0,14.0,2.0,240.0,12.0,"192169",1.0,2.0170315E7,"MUNICIPIO N.4","XIV - CARBONARA DI BARI",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","14_2_240_12_192259_20170315",1.0,14.0,2.0,240.0,12.0,"192259",1.0,2.0170315E7,"MUNICIPIO N.4","XIV - CARBONARA DI BARI",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","14_2_240_12_192260_20170315",1.0,14.0,2.0,240.0,12.0,"192260",1.0,2.0170315E7,"MUNICIPIO N.4","XIV - CARBONARA DI BARI",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","6_5_176_12_184983_20170315",1.0,6.0,5.0,176.0,12.0,"184983",2.0,2.0170315E7,"MUNICIPIO N.2","VI - SAN PASQUALE",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_10_186835_20170315",1.0,8.0,5.0,151.0,10.0,"186835",1.0,2.0170315E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_93_15_184479_20170307",1.0,2.0,3.0,93.0,15.0,"184479",1.0,2.0170307E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-07","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_93_15_160478_20170307",1.0,2.0,3.0,93.0,15.0,"160478",1.0,2.0170307E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-07","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_12_186936_20170315",1.0,8.0,5.0,151.0,12.0,"186936",2.0,2.0170315E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","4_3_227_12_184577_20170315",1.0,4.0,3.0,227.0,12.0,"184577",1.0,2.0170315E7,"MUNICIPIO N.1","IV - LIBERTA'",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","15_2_240_12_192259_20170315",1.0,15.0,2.0,240.0,12.0,"192259",1.0,2.0170315E7,"MUNICIPIO N.4","XV - CEGLIE DEL CAMPO",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","14_2_240_12_122175_20170315",1.0,14.0,2.0,240.0,12.0,"122175",1.0,2.0170315E7,"MUNICIPIO N.4","XIV - CARBONARA DI BARI",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","5_3_93_12_125880_20170315",1.0,5.0,3.0,93.0,12.0,"125880",1.0,2.0170315E7,"MUNICIPIO N.1","V - JAPIGIA",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","6_5_176_12_160456_20170315",1.0,6.0,5.0,176.0,12.0,"160456",1.0,2.0170315E7,"MUNICIPIO N.2","VI - SAN PASQUALE",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","11_4_148_12_185109_20170315",1.0,11.0,4.0,148.0,12.0,"185109",1.0,2.0170315E7,"MUNICIPIO N.3","XI - SAN PAOLO",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_168_12_187007_20170315",1.0,2.0,3.0,168.0,12.0,"187007",1.0,2.0170315E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_12_186842_20170315",1.0,8.0,5.0,151.0,12.0,"186842",2.0,2.0170315E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","5_3_139_12_144776_20170315",1.0,5.0,3.0,139.0,12.0,"144776",3.0,2.0170315E7,"MUNICIPIO N.1","V - JAPIGIA",1.0,"2017-03-15","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","9_4_148_12_190927_20170315",1.0,9.0,4.0,148.0,12.0,"190927",1.0,2.0170315E7,"MUNICIPIO N.3","IX - STANIC",1.0,"2017-03-15","2017","2017"
