Denominazione,Lat,Long,Numero Bici
Agraria,41.1114341156773,16.8828964233398,10
Area Sosta Mazzini,41.1248835992912,16.8558597564697,0
Area sosta Rossani,41.1161708467507,16.8718671798706,10
Ateneo,41.1211981976236,16.8694853782654,6
Camera di Commercio,41.1241804794232,16.8722319602966,10
Chiesa Russa,41.1092030454473,16.8718671798706,10
Cimitero,41.1233157124733,16.8476200103760,10
Citt… Vecchia,41.1272636445400,16.8659555912018,8
Comando Polizia Municipale,41.1058401296738,16.9125509262085,10
Economia,41.0941292100390,16.8545830249786,9
Garibaldi,41.1258372440852,16.8620181083679,9
Madonnella,41.1203576384350,16.8787765502930,10
Mercato Giovanni XXIII,41.1071335792001,16.8647432327271,10
Multipark,41.1181430367223,16.8646574020386,9
Palazzo Provincia,41.1207698370746,16.8805575370789,5
Park&Ride A,41.1277444920960,16.8527698516846,9
Park&Ride C,41.1052095637919,16.8739485740662,10
Piazzetta dei Papi,41.1047891831734,16.8662238121033,10
Pineta San Francesco,41.1321568110180,16.8286514282227,9
Policlinico,41.1115311170110,16.8592929840088,9
Politecnico,41.1075054412235,16.8780040740967,19
Politecnico - Segreteria,41.0980465570940,16.8901920318604,10
Porto,41.1340961979804,16.8693351745605,10
Prefettura,41.1260312040422,16.8685197830200,10
Ravanas,41.1178682269188,16.8593788146973,10
Risorgimento,41.1230813344214,16.8605482578278,7
San Pasquale,41.1137459417996,16.8769097328186,8
Spiaggia Pane e Pomodoro,41.1159930234312,16.9047832489014,8
Stazione FF.SS.,41.1186603226429,16.8696570396423,17
Tribunale,41.1234854339884,16.8574690818787,7
Trieste,41.1159930234312,16.8987321853638,5
Vittorio Veneto,41.1335467108287,16.8443584442139,9
